Gene	Description	Ranks	Tumor vs Normal
ZMAT3	ZMAT3	10.49	1
FAS	FAS	10.43	1
DDB2	DDB2	9.12	1
BBC3	BBC3	8.78	1
GLS2	GLS2	8.26	1
BAX	BAX	6.87	1
ULBP1	ULBP1	6.87	1
PERP	PERP	5.82	1
ULBP2	ULBP2	5.5	1
SFN	SFN	5.24	1
CCNG1	CCNG1	5.13	1
GPX1	GPX1	4.73	1
TP53INP1	TP53INP1	4.39	1
CPT1C	CPT1C	3.52	1
IRF5	IRF5	3.29	1
CDKN1A	CDKN1A	3.24	1
XPC	XPC	3.09	1
THBS1	THBS1	3.03	1
PMAIP1	PMAIP1	2.14	1
APAF1	APAF1	2.08	1
TP53I3	TP53I3	1.93	1
RRM2B	RRM2B	1.85	1
ISG15	ISG15	1.83	1
SERPINE1	SERPINE1	1.75	1
CX3CL1	CX3CL1	1.73	1
ADORA2B	ADORA2B	1.68	1
SERPINB5	SERPINB5	1.55	1
PIDD1	PIDD1	1.5	1
LIF	LIF	1.4	1
DDIT4	DDIT4	1.34	1
